trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents,contracts_traded,actual_outcome_target,pnl_cents
2025-05-19T23:35:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747697700,25.00,BUY_YES,0.8342,83,1,1,17
2025-05-19T23:35:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747697700,25.00,BUY_NO,0.0804,91,1,0,9
2025-05-19T23:35:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,1747699200,1747697700,25.00,BUY_NO,0.2174,78,1,0,22
2025-05-19T23:36:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,1747699200,1747697760,24.00,BUY_NO,0.1788,82,1,0,18
2025-05-19T23:36:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747697760,24.00,BUY_NO,0.0776,92,1,0,8
2025-05-19T23:36:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747697760,24.00,BUY_YES,0.7542,75,1,1,25
2025-05-19T23:37:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747697820,23.00,BUY_NO,0.0643,93,1,0,7
2025-05-19T23:37:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,1747699200,1747697820,23.00,BUY_NO,0.1706,82,1,0,18
2025-05-19T23:37:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747697820,23.00,BUY_YES,0.7163,71,1,1,29
2025-05-19T23:38:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747697880,22.00,BUY_YES,0.7553,75,1,1,25
2025-05-19T23:38:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,1747699200,1747697880,22.00,BUY_NO,0.1859,81,1,0,19
2025-05-19T23:38:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747697880,22.00,BUY_NO,0.0661,93,1,0,7
2025-05-19T23:39:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747697940,21.00,BUY_YES,0.8005,80,1,1,20
2025-05-19T23:39:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747697940,21.00,BUY_NO,0.0665,93,1,0,7
